20-20_technologies::: NNP NE;nc com nc 
sterling_farm_research_and_services::: NNP NE;nc com nc 
stevens'_power_law::: N nc;tool 
stevens-henager_college::: ;NN nc org 
stick_out::: VB vc;VPP vt 
stick_together::: VB vc;vt 
stick_up::: VB vc;VPP 
stir_in::: VB vc;vt 
stir_up::: VB vc;vt 
stitch_together::: VB vc;vt 
stock_market_index::: N nc unit; 
stock_of_record::: N nc; 
stockholder_of_record::: N nc;per 
stomach_antrum_resection::: N nc;treatment 
stomach_cancer_cellular_diagnosis::: N nc;treatment 
stomp_out::: VB vc;vt 
stonyfield_farm::: NNP NE;nc com nc 
stop_up::: VB vc;VPP vt 
stora_enso_digital_solutions::: NNP NE;nc com nc 
storage_technology::: NNP NE;nc com nc 
store_apart::: VB vc;VNPPP 
straight_life_insurance::: N nc; 
strange_after_taste::: N nc;nt 
strap_down::: VB vc;vt 
strap_in::: VB vc;vt 
strap_on::: VB vc;vt 
strategic_arms_limitation_talks::: N nc;tool 
strategic_program_manager::: N nc;job 
streamline_health_solutions::: NNP NE;nc com nc 
stressgen_biotechnologies::: NNP NE;nc com nc 
stretch_away::: VB vc;VPP 
stretch_back::: VB vc;vt 
stretch_forth::: VB vc;vt 
stretch_on::: VB vc;VI 
stretch_out::: VB vc;VPP vt 
stretch_up::: VB vc;VPP 
stride_rite::: NNP NE;nc com nc 
strike_out::: VB vc;VPP vt 
string_along::: VB vc;vt 
string_around::: VB vc;vt 
string_down::: VB vc;vt 
string_out::: VB vc;vt 
string_up::: VB vc;vt 
strip_off::: VB vc;vt 
strong_earnings_report::: N nc;pt 
study_over::: VB vc;vt 
study_up::: VB vc;VPP 
stumble_aside::: VB vc;VPPdir 
stumble_back::: VB vc;VPPdir 
stumble_out::: VB vc;VPPdir 
sub_pop::: NNP NE;nc com nc 
subcontract_out::: VB vc;VNPPP 
subo_motor::: NNP NE;nc com nc 
suck_in::: VB vc;vt 
suck_up::: VB vc;VNPPP vt 
sugar_crash::: N nc;abstract 
suicide_gene_therapy::: N nc;treatment 
suit_of_clothes::: NN nc;tool 
suit_up::: VB vc;VNPPP vt 
sukhjit_starch_and_chemicals::: NNP NE;nc com nc 
sul_ross_state_university::: ;NN nc org 
sum_by::: VB vc;VNG 
sum_up::: VB vc;vt 
sumisho_computer_systems::: NNP NE;nc com nc 
summer_down::: VB vc;VPP 
summer_out::: VB vc;VPP 
summer_up::: VB vc;VPP 
summerhill_venture_partners::: NNP NE;nc com nc 
summit_chemical::: NNP NE;nc com nc 
sun_chemical::: NNP NE;nc com nc 
sun_electronic_systems::: NNP NE;nc com nc 
sunburst_chemicals::: NNP NE;nc com nc 
sunday_school_class::: N nc;orgHN 
sunderland_a.f.c.::: NNP NE;nc com nc 
sunglass_hut_international::: NNP NE;nc com nc 
sunplus_technology::: NNP NE;nc com nc 
sunrex_technology::: NNP NE;nc com nc 
suny_rockland_community_college::: ;NN nc org 
super_micro_computer::: NNP NE;nc com nc 
superconductor_technologies::: NNP NE;nc com nc 
superficial_inferior_epigastric_artery_flap::: N nc;treatment 
superior_cervical_ganglionectomy::: N nc;treatment 
superior_gluteal_artery_perforator_flap::: N nc;treatment 
support_vector_machine::: N nc;tech 
suprapubic_arc_sling::: N nc;treatment 
supreme_allied_commander_atlantic::: N nc;per 
supreme_allied_commander_europe::: N nc;per 
surface-to-air_missile_system::: N nc;tool 
susan_g._komen_for_the_cure::: ;NN nc org 
suss_out::: VB vc;VTH vt 
suzhou_tianpu_chemical::: NNP NE;nc com nc 
suzhou_xinlong_chemical::: NNP NE;nc com nc 
swagger_over::: VB vc;VPP 
swain_technology::: NNP NE;nc com nc 
swan_hill_chemicals::: NNP NE;nc com nc 
swati_menthol_and_allied_chemicals::: NNP NE;nc com nc 
sway_over::: VB vc;VPP vt 
swear_in::: VB vc;VI VNPPP VPP VTH vt vtoV 
sweat_out::: VB vc;vt 
sweat_through::: VB vc;vt 
sweep_off::: VB vc;vt 
sweep_up::: VB vc;vt 
swerve_aside::: VB vc;VPP 
swerve_away::: VB vc;VPP 
swerve_back::: VB vc;VPP 
swig_away::: VB vc;VPP 
swill_down::: VB vc;VNPPP vt 
swing_around::: VB vc;VNPPP VPP vt 
swing_away::: VB vc;VPP 
swing_back::: VB vc;VPP 
swing_in::: VB vc;VPP vt 
swing_off::: VB vc;VPP 
swing_open::: VB vc;VPP vt 
swing_over::: VB vc;VNPPP VPP vt 
swing_up::: VB vc;VNPPP VPP vt 
swirl_around::: VB vc;vt 
swish_back::: VB vc;vt 
swish_forth::: VB vc;vt 
swiss_re::: NNP NE;nc com nc 
swiss_virtual_air_lines::: NNP NE;nc com nc 
switch_around::: VB vc;vt 
switch_back::: VB vc;VPP vt 
switch_on::: VB vc;vt 
swivel_around::: VB vc;VPP vt 
swivel_down::: VB vc;vt 
swivel_up::: VB vc;vt 
swoop_down::: VB vc;VPP VPPdir 
swoop_in::: VB vc;VPP VPPdir 
swoop_up::: VB vc;vt 
swop_around::: VB vc;vt 
swot_up::: VB vc;vt 
sxc_health_solutions::: NNP NE;nc com nc 
syagen_technology::: NNP NE;nc com nc 
symbol_technologies::: NNP NE;nc com nc 
synergetica_sanmen_chemical::: NNP NE;nc com nc 
syngenta_biotechnology::: NNP NE;nc com nc 
synovis_life_technologies::: NNP NE;nc com nc 
synthite_industrial_chemicals::: NNP NE;nc com nc 
syphon_out::: VB vc;VNPPP vt 
sypris_solutions::: NNP NE;nc com nc 
sys_computers::: NNP NE;nc com nc 
system_design::: N deverbal nc; 
system_integration::: N deverbal nc; 
system_program::: NN nc;tool 
systemic_pulmonary_shunt::: N nc;treatment 
t-mac_technologies::: NNP NE;nc com nc 
t_and_d_technology::: NNP NE;nc com nc 
ta-i_technology::: NNP NE;nc com nc 
tabor_electronics::: NNP NE;nc com nc 
tack_down::: VB vc;vt 
tack_up::: VB vc;VNPPP vt 
tactical_electronics::: NNP NE;nc com nc 
tagros_chemicals_india::: NNP NE;nc com nc 
tai-i_technology::: NNP NE;nc com nc 
taicang_hengyi_medicine_chemical_material_factory::: NNP NE;nc com nc 
taiwan_surface_mounting_technology::: NNP NE;nc com nc 
taiyuan_xinli_chemicals::: NNP NE;nc com nc 
taizhou_baida_pharmaceutical_chemical::: NNP NE;nc com nc 
taizhou_candorly_sea_biochemical_&_health_products::: NNP NE;nc com nc 
taizhou_jiangbei_pharmaceutical_&_chemical::: NNP NE;nc com nc 
take_advantage_of::: VB vc;mkAct vacVO vtt 
take_along::: VB vc;VNPPPas vt 
take_back::: VB vc;VNPPPas vt 
take_care_health_systems::: NNP NE;nc com nc 
take_care_of::: VB vc;control enGrow improve pAttitude vtt 
take_it_easy::: VB VP vc;cliche imperative pEmo vi 
take_it_outside::: N nc;prod0 
take_its_sweet_time::: VB vc;nt vi 
take_off::: VB vc;VPP vt 
take_on::: VB vc;VNPPPas vt 
take_out_dim_sum::: N nc;food 
take_over::: VB vc;VNPPPas vt 
take_turns::: VB vc;VNG 
take_up::: VB vc;VNPPP VPP vt 
takeda_chemical::: NNP NE;nc com nc 
talk_down::: VB vc;vt 
talk_over::: VB vc;VNPPP vt 
talk_that_shit::: N nc;curse 
tally_out::: VB vc;VPP vt 
tamachi_building::: NNP NE;nc com nc 
tamp_down::: VB vc;vt 
tampa_electric::: NNP NE;nc com nc 
tang_industries::: NNP NE;nc com nc 
tanla_solutions::: NNP NE;nc com nc 
tap_in::: VB vc;vt 
tap_on::: VB vc;vt 
tap_open::: VB vc;vt 
tap_out::: VB vc;vt 
tap_through::: VB vc;vt 
tape_together::: VB vc;vt 
tape_up::: VB vc;vt 
taper_down::: VB vc;VPP 
target_acquisition_system::: N nc;tool 
target_australia::: NNP NE;nc com nc 
target_cell_destruction::: N nc;treatment 
tarleton_state_university::: ;NN nc org 
tcl_communication_technology::: NNP NE;nc com nc 
tcl_multimedia_technology::: NNP NE;nc com nc 
tds_informationstechnologie::: NNP NE;nc com nc 
team_laboratories_chemical::: NNP NE;nc com nc 
team_solutions::: NNP NE;nc com nc 
team_up::: VB vc;VPP vt vtoV 
tear_back::: VB vc;vt 
tear_down::: VB vc;vt 
tear_open::: VB vc;vt 
tear_up::: VB vc;vt 
technical_account_manager::: N nc;job 
technical_project_manager::: N nc;job 
technical_sales_operations_associate::: N nc;job 
technical_support_engineer::: N nc;job 
tecon_technologies::: NNP NE;nc com nc 
tedec_meiji_farma::: NNP NE;nc com nc 
tee_off::: VB vc;VI 
tee_up::: VB vc;vt 
tel_instrument_electronics::: NNP NE;nc com nc 
teles_ag_informationstechnologien::: NNP NE;nc com nc 
teletechnologies_holdings::: NNP NE;nc com nc 
television_camera_tube::: N nc;tool 
television_new_zealand::: NNP NE;nc com nc 
television_pickup_tube::: N nc;tool 
temperate_rain_forest::: N nc; 
tender_loving_care::: N nc;tech 
tennessee_state_university::: ;NN nc org 
tennessee_technological_university::: ;NN nc org 
tennessee_wesleyan_college::: ;NN nc org 
tension_free_vaginal_tape::: N nc;treatment 
tenth_cranial_nerve::: N nc;bodyPart 
teres_major_muscle::: N nc;bodyPart 
teres_minor_muscle::: N nc;bodyPart 
term_of_a_contract::: N nc; 
term_of_enlistment::: N nc;timeUnit 
term_of_office::: N nc;timeUnit 
terrestrial_dynamical_time::: N nc;timeUnit 
tessco_technologies::: NNP NE;nc com nc 
test-drive_around::: VB vc;vt 
test_equipment_solutions::: NNP NE;nc com nc 
test_instrument_vehicle::: N nc;tool 
test_out::: VB vc;vt 
test_room::: N nc; 
test_tube_baby::: N nc;per 
testicular_cancer_cellular_diagnosis::: N nc;treatment 
testicular_sperm_aspiration::: N nc;treatment 
testicular_sperm_extraction::: N nc;treatment 
tetrachoric_correlation_coefficient::: N nc unit; 
texas_a&m_international_university::: ;NN nc org 
texas_a&m_university_-college_station::: ;NN nc org 
texas_a&m_university_-commerce::: ;NN nc org 
texas_a&m_university_-corpus_christi::: ;NN nc org 
texas_a&m_university_-galveston::: ;NN nc org 
texas_a&m_university_-kingsville::: ;NN nc org 
texas_a&m_university_-texarkana::: ;NN nc org 
texas_christian_university::: ;NN nc org 
texas_instruments::: NNP NE;nc com nc 
texas_lutheran_university::: ;NN nc org 
texas_pacific::: NNP NE;nc com nc 
texas_state_technical_college::: ;NN nc org 
texas_state_technical_college_-harlingen::: ;NN nc org 
texas_state_technical_college_-marshall::: ;NN nc org 
texas_state_technical_college_west_texas::: ;NN nc org 
texas_state_university_-san_marcos::: ;NN nc org 
texas_tech_university::: ;NN nc org 
texas_tech_university_-health_sciences_center::: ;NN nc org 
texas_tech_university_-school_of_law::: ;NN nc org 
texas_tech_university_at_junction::: ;NN nc org 
texas_wesleyan_univeristy::: ;NN nc org 
th_agro::: NNP NE;nc com nc 
thaw_out::: VB vc;vt 
the_3do::: NNP NE;nc com nc 
the_college_of_wooster::: ;NN nc org 
the_dirt_on::: N nc;prod0 
the_fucking_shit::: A N ac nc oral;curse emph passion 
the_good_life::: N nc;prod0 
the_hartford::: NNP NE;nc com nc 
the_inc._records::: NNP NE;nc com nc 
the_limited_too::: NNP NE;nc com nc 
the_mobile_solution::: NNP NE;nc com nc 
the_primary_cause::: N nc;nt 
the_rest_of::: DT;pureDT vtt 
the_shit_fool::: N nc;coolC 
the_shit_out_of_you::: A NN ac nc oral;curse 
the_sooner_the_better::: RP oral;RB idiomPP sRB 
the_walt_disney::: NNP NE;nc com nc 
theater_in_the_round::: N nc; 
theater_of_operations::: N nc; 
theater_of_the_absurd::: N nc; 
theater_of_war::: N nc; 
theatre_of_operations::: N nc; 
theatre_of_war::: N nc; 
theory_of_dissociation::: N nc;tech 
theory_of_evolution::: N nc; 
theory_of_games::: N nc; 
theory_of_gravity::: N nc; 
theory_of_inheritance::: N nc; 
theory_of_relativity::: N nc; 
thermionic_vacuum_tube::: N nc;tool 
thermodynamics_of_equilibrium::: N nc; 
thine_electronics::: NNP NE;nc com nc 
think_about::: VB vc;VhisNG 
think_bout::: VB vc;VhisNG 
think_of::: VB vc;VNPPPas 
think_out::: VB vc;vt 
think_over::: VB vc;vt 
think_through::: VB vc;vt 
think_up::: VB vc;vt 
thiobarbituric_acid_test::: N nc;tech 
third_class_mail::: N nc;tech 
third_cranial_nerve::: N nc;bodyPart 
third_law_of_motion::: N nc; 
third_law_of_thermodynamics::: N nc; 
third_wave_technologies::: NNP NE;nc com nc 
thirst_for_knowledge::: N nc; 
this_and_that::: N NP nc; 
this_small_space::: N nc;prod0 
thomas_edison_state_college::: ;NN nc org 
thomas_m._cooley_law_school::: ;NN nc org 
thompson_submachine_gun::: N nc;tool 
thoracic_aorta_surgery::: N nc;treatment 
thoracic_spinal_ganglion::: N nc;bodyPart 
thoracodorsal_artery_perforator_flap::: N nc;treatment 
thorax_epidural_anesthesia::: N nc;treatment 
thorax_wall_reconstruction::: N nc;treatment 
thrash_out::: VB vc;vt 
threat_resolution::: NNP NE;nc com nc 
three_centered_arch::: N nc;tool 
three_weird_sisters::: N nc; 
through_a_glass_darkly::: RB ac;idiomPP ly 
through_and_through::: P;RB content idiomPP intensifier 
through_rose_colored_glasses::: A ac;idiomPP 
through_the_mill::: A ac;idiomPP 
through_the_motions::: ;RB idiomPP plu 
through_the_years::: ;RB idiomPP 
through_trial_and_error::: ;RB idiomPP 
throw_around::: VB vc;vt 
throw_back::: VB vc;VNPPP vt 
throw_down::: VB vc;VNPPP vt 
throw_in::: VB vc;vt 
throw_off::: VB vc;VNG vt 
throw_open::: VB vc;vt 
throw_together::: VB vc;vt 
thrust_forward::: VB Ven past vc;vt 
thrust_open::: VB Ven past vc;vt 
thrust_out::: VB Ven past vc;vt 
thrust_up::: VB Ven past vc;vt 
thumb_down::: N nc;bad 
thumb_up::: N nc;good 
thunderbird_graduate_school_of_international_management::: ;NN nc org 
thyssenkrupp_technologies::: NNP NE;nc com nc 
tibia_proximal_osteotomy::: N nc;treatment 
tick_off::: VB vc;vt 
tide_over::: VB vc;vt 
tie_down::: VB vc;VNPPP vt 
tie_in::: VB vc;VNPPP VPP vt 
tie_on::: VB vc;vt 
tie_together::: VB vc;vt 
tie_up::: VB vc;VI VNPPP VPP vt 
tiger_direct::: NNP NE;nc com nc 
tighten_up::: VB vc;VPP vt 
tii_network_technologies::: NNP NE;nc com nc 
time-delay_measuring_instrument::: N nc;tool 
time-delay_measuring_system::: N nc;tool 
time_and_a_half::: N nc unit; 
time_delay_relay::: NN nc;prod 
time_deposit_account::: N nc; 
time_of_arrival::: N nc;timeUnit 
time_of_day::: N nc;timeUnit 
time_of_departure::: N nc;timeUnit 
time_of_life::: N nc;timeUnit 
time_of_origin::: N nc;timeUnit 
time_of_year::: N nc;timeUnit 
time_scale_factor::: N nc unit; 
time_warner::: NNP NE;nc com nc 
timoney_technology::: NNP NE;nc com nc 
tin_pan_alley::: N nc; 
tinker_around::: VB vc;VPP 
tip_over::: VB vc;VNPPP VPP vt 
tire_pressure_monitoring_system::: N nc;tech 
titan_chemicals::: NNP NE;nc com nc 
titan_petrochemicals_group::: NNP NE;nc com nc 
tlc_network::: NNP NE;nc com nc 
to_a_serious_degree::: ;RB idiomPP intensifier 
to_a_serious_extent::: ;RB idiomPP intensifier 
to_the_bottom_of_the_pile::: ;RB idiomPP 
to_the_ends_of_the_earth::: ;RB idiomPP plu 
to_the_limit::: A;RB idiomPP intensifier 
to_the_nth_degree::: ;RB idiomPP 
to_the_utmost::: ;RB idiomPP intensifier 
tokio_marine_&_nichido::: NNP NE;nc com nc 
tokio_marine_life_insurance::: NNP NE;nc com nc 
tokyo_electron_device::: NNP NE;nc com nc 
tokyo_shokai::: NNP NE;nc com nc 
tomen_electronics::: NNP NE;nc com nc 
tone_up::: VB vc;vt 
tongue_and_groove_joint::: N nc;tool 
too_big_a_deal::: N nc;good 
too_far_away::: A ac;nt 
too_many_old::: A ac;nt 
too_much_fun::: A ac oral;emph good passion 
toolroom_technology::: NNP NE;nc com nc 
top_off::: VB vc;VNPPP vt 
top_out::: VB vc;VPP 
topple_over::: VB vc;vt 
toshiba_matsushita_display_technology::: NNP NE;nc com nc 
toss_around::: VB vc;vt 
tot_up::: VB vc;vt 
total_bilirubin_level::: N nc;abstract 
total_body_clearance_rate::: N nc;abstract 
total_colon_resection::: N nc;treatment 
total_hip_prosthesis::: N nc;treatment 
total_knee_replacement::: N nc;treatment 
total_out::: VB vc;VPP 
total_petrochemicals::: NNP NE;nc com nc 
total_skin_electron_therapy::: N nc;treatment 
total_stomach_resection::: N nc;treatment 
total_up::: VB vc;vt 
tote_in::: VB vc;vt 
tote_up::: VB vc;vt 
touch_and_go_records::: NNP NE;nc com nc 
tough_as_nails::: N nc;prod0 
toukei_computer::: NNP NE;nc com nc 
toumaz_technology::: NNP NE;nc com nc 
tour_de_force::: NN nc;count result 
tow_back::: VB vc;VNPPP 
tow_in::: VB vc;vt 
tow_off::: VB vc;vt 
towel_off::: VB vc;vt 
tower_of_strength::: N nc;per 
towson_state_university::: ;NN nc org 
toxic_waste_area::: N nc; 
toxic_waste_dump::: N nc; 
toxic_waste_site::: N nc; 
toyama_chemical::: NNP NE;nc com nc 
toyo_engineering_works::: NNP NE;nc com nc 
toyota_motor::: NNP NE;nc com nc 
tpv_technology::: NNP NE;nc com nc 
trace_back::: VB vc;VNPPP 
trace_chemicals::: NNP NE;nc com nc 
trace_out::: VB vc;VNPPP 
track_down::: VB vc;vt 
trade_away::: VB vc;vt 
trade_down::: VB vc;VPP 
trade_in::: VB vc;VI VNPPP VPP vt 
trade_name::: NN nc;prod vac 
trade_off::: NN VB vc;vt 
trade_up::: VB vc;VPP 
trail_off::: VB vc;VPP 
trammel_up::: VB vc;vt 
trans_world_airlines::: NNP NE;nc com nc 
transact_technologies::: NNP NE;nc com nc 
transaction_services_analyst::: N nc;count job 
transcranial_magnetic_stimulation::: N nc;treatment 
transcutaneous_nerve_stimulation::: N nc;treatment 
transense_technologies::: NNP NE;nc com nc 
transjugular_intrahepatic_portosystemic_shunt::: N nc;treatment 
transluminal_coronary_angioplasty::: N nc;treatment 
transpacific_hawaii_college::: ;NN nc org 
transurethral_microwave_thermotherapy::: N nc;treatment 
transurethral_needle_ablation::: N nc;treatment 
transverse_rectus_abdominis_musculocutaneous_flap::: N nc;treatment 
tranzeo_wireless_technologies::: NNP NE;nc com nc 
travel_sourcing_analyst::: N nc;count job 
travelcard_zone_4::: NNP NE;nc com nc 
travelsky_technology::: NNP NE;nc com nc 
traylor_chemical_&_supply::: NNP NE;nc com nc 
trevecca_nazarene_university::: ;NN nc org 
tri-county_technical_college::: ;NN nc org 
tria_it-solutions::: NNP NE;nc com nc 
tribal_internet_marketing::: NNP NE;nc com nc 
trice_up::: VB vc;vt 
tricolor_television_tube::: NN nc;tool 
tricolour_television_tube::: NN nc;tool 
tricorn_technology::: NNP NE;nc com nc 
tricuspid_valve_repair::: N nc;treatment 
tricuspid_valve_replacement::: N nc;treatment 
trident_technical_college::: ;NN nc org 
trigger_off::: VB vc;vt 
trim_away::: VB vc;VNPPP vt 
trim_up::: VB vc;vt 
trinity_christian_college::: ;NN nc org 
trinity_international_university::: ;NN nc org 
trio_technologies_international::: NNP NE;nc com nc 
triphenyl_tetrazolium_chloride_test::: N nc;tech 
triple_five::: NNP NE;nc com nc 
tripod_technology_group::: NNP NE;nc com nc 
troop_off::: VB vc;VPP 
troy_chemical::: NNP NE;nc com nc 
troy_state_university::: ;NN nc org 
troy_state_university_-dothan::: ;NN nc org 
troy_state_university_-montgomery::: ;NN nc org 
troy_state_university_-troy::: ;NN nc org 
truman_state_university::: ;NN nc org 
trump_shuttle::: NNP NE;nc com nc 
trump_up::: VB vc;vt 
trundle_around::: VB vc;VNPPPdir VPPdir 
trundle_away::: VB vc;VPPdir 
trundle_down::: VB vc;VNPPPdir 
trundle_off::: VB vc;VNPPPdir VPPdir 
trustco_bank_corp_ny::: NNP NE;nc com nc 
try_on::: VB vc;vt 
tt_electronics::: NNP NE;nc com nc 
ttl_information_technology::: NNP NE;nc com nc 
tuck_away::: VB vc;VPP vt 
tuck_in::: VB vc;vt 
tucker_electronics::: NNP NE;nc com nc 
tufco_technologies::: NNP NE;nc com nc 
tufts_university::: ;NN nc org 
tulane_university::: ;NN nc org 
tumor_cell_graft::: N nc;tech 
tune_in::: VB vc;VNPPP VPP vt 
turn_aside::: VB vc;vt 
turn_away::: VB vac vc;VNPPP VPP move remove vt 
turn_back::: VB vc;VNPPP vt 
turn_in::: VB vc;VNPPP vt 
turn_off::: VB vc;VNPPP VPP vt 
turn_out::: VB vc;VSS vAP vt vtoV 
turn_over::: VB vc;VNPPP vt 
turn_to::: VB vc;vt 
turn_up::: VB vc;VNPPP VPP vt 
turner_broadcasting::: NNP NE;nc com nc 
tvs_motor::: NNP NE;nc com nc 
twenty_first_century_aerospace_technology::: NNP NE;nc com nc 
twist_around::: VB vc;VNPPP VPP vt 
twist_off::: VB vc;vt 
twist_together::: VB vc;vt 
twitch_away::: VB vc;vt 
twoway_forwarding_and_logistics::: NNP NE;nc com nc 
tyco_electronics::: NNP NE;nc com nc 
u.s._industrial_chemicals::: NNP NE;nc com nc 
u.s._steel::: NNP NE;nc com nc 
ucb_chemicals::: NNP NE;nc com nc 
ufp_technologies::: NNP NE;nc com nc 
ultimate_fan_experience::: N nc;pt 
ultra_electronics_pmes::: NNP NE;nc com nc 
ultrasystems_electronics::: NNP NE;nc com nc 
under_1_roof::: N nc;prod0 
under_cover_of_darkness::: ;RB idiomPP ness 
under_false_pretense::: ;RB idiomPP 
under_false_pretenses::: ;RB idiomPP 
under_the_radar::: ;RB idiomPP 
under_these_circumstances::: ;RB expression idiomPP plu 
uniform_resource_locator::: NN nc;tool 
unimicron_technology::: NNP NE;nc com nc 
uninterruptible_power_supply::: N nc;prod 
union_carbide_chemicals_&_plastics::: NNP NE;nc com nc 
uniroyal_chemical::: NNP NE;nc com nc 
unison_solutions::: NNP NE;nc com nc 
unisteel_technology::: NNP NE;nc com nc 
united_arab_emirate_dirham::: N nc unit; 
united_microelectronics::: NNP NE;nc com nc 
united_nations_day::: NNP nc;timeUnit 
united_parcel_service::: NNP NE;nc com nc 
united_press_international::: NNP NE;nc com nc 
united_states_air_force::: ;NN nc org 
united_states_air_force_academy::: ;NN nc org 
united_states_army::: ;NN nc org 
united_states_army_corps_of_engineers::: ;NN nc org 
united_states_army_criminal_investigation_laboratory::: ;NN nc org 
united_states_army_research_laboratory::: ;NN nc org 
united_states_border_patrol::: ;NN nc org 
united_states_coast_guard::: ;NN nc org 
united_states_coast_guard_academy::: ;NN nc org 
united_states_department_of_defense::: ;NN nc org 
united_states_department_of_energy::: ;NN nc org 
united_states_dry_unit::: N nc unit; 
united_states_environmental_protection_agency::: ;NN nc org 
united_states_fish_and_wildlife_service::: ;NN nc org 
united_states_government_printing_office::: ;NN nc org 
united_states_international_university::: ;NN nc org 
united_states_liquid_unit::: N nc unit; 
united_states_marine_corps::: ;NN nc org 
united_states_marshals_service::: ;NN nc org 
united_states_merchant_marine_academy::: ;NN nc org 
united_states_military_academy::: ;NN nc org 
united_states_naval_academy::: ;NN nc org 
united_states_navy::: ;NN nc org 
united_states_post_office::: ;NN nc org 
united_states_postal_inspection_service::: ;NN nc org 
united_states_postal_service::: ;NN nc org 
united_states_public_health_service::: ;NN nc org 
united_states_sports_academy::: ;NN nc org 
united_states_trade_representative::: ;NN nc org 
united_states_treasury::: ;NN nc org 
united_technologies::: NNP NE;nc com nc 
unity_opto_technology::: NNP NE;nc com nc 
univacco_technology::: NNP NE;nc com nc 
universal_electronics::: NNP NE;nc com nc 
universal_mobile_telecommunications_system::: N nc;tech 
universal_mobile_telephone_system::: N nc;tech 
universal_product_code::: NNP nc;tool 
universal_resource_locator::: NN nc;tool 
universal_studios::: NNP NE;nc com nc 
university_of_advancing_technology::: ;NN nc org 
university_of_akron::: ;NN nc org 
university_of_alabama_birmingham::: ;NN nc org 
university_of_alabama_huntsville::: ;NN nc org 
university_of_alabama_tuscaloosa::: ;NN nc org 
university_of_alaska_anchorage_-anchorage_campus::: ;NN nc org 
university_of_alaska_anchorage_-chugiak-eagle_river_campus::: ;NN nc org 
university_of_alaska_anchorage_-kenai_peninsula_college::: ;NN nc org 
university_of_alaska_anchorage_-kodiak_college::: ;NN nc org 
university_of_alaska_anchorage_-matanuska-susitna_college::: ;NN nc org 
university_of_alaska_anchorage_-prince_william_sound_community_college::: ;NN nc org 
university_of_alaska_fairbanks_-bristol_bay_campus::: ;NN nc org 
university_of_alaska_fairbanks_-chukchi_campus::: ;NN nc org 
university_of_alaska_fairbanks_-fairbanks_campus::: ;NN nc org 
university_of_alaska_fairbanks_-interior-aleutians_campus::: ;NN nc org 
university_of_alaska_fairbanks_-kuskokwim_campus::: ;NN nc org 
university_of_alaska_fairbanks_-northwest_campus::: ;NN nc org 
university_of_alaska_fairbanks_-tanana_valley_campus::: ;NN nc org 
university_of_alaska_southeast_-juneau_campus::: ;NN nc org 
university_of_alaska_southeast_-ketchikan_campus::: ;NN nc org 
university_of_alaska_southeast_-sitka_campus::: ;NN nc org 
university_of_alaska_system::: ;NN nc org 
university_of_arizona::: ;NN nc org 
university_of_arkansas_-fayetteville::: ;NN nc org 
university_of_arkansas_-little_rock::: ;NN nc org 
university_of_arkansas_-pine_bluff_campus::: ;NN nc org 
university_of_arkansas_at_monticello::: ;NN nc org 
university_of_arkansas_community_college_-hope_campus::: ;NN nc org 
university_of_arkansas_for_medical_sciences::: ;NN nc org 
university_of_baltimore::: ;NN nc org 
university_of_berkley::: ;NN nc org 
university_of_bridgeport::: ;NN nc org 
university_of_california_-berkeley::: ;NN nc org 
university_of_california_-davis::: ;NN nc org 
university_of_california_-irvine::: ;NN nc org 
university_of_california_-los_angeles::: ;NN nc org 
university_of_california_-merced::: ;NN nc org 
university_of_california_-riverside::: ;NN nc org 
university_of_california_-san_diego::: ;NN nc org 
university_of_california_-san_francisco::: ;NN nc org 
university_of_california_-santa_barbara::: ;NN nc org 
university_of_california_-santa_cruz::: ;NN nc org 
university_of_central_arkansas::: ;NN nc org 
university_of_central_florida::: ;NN nc org 
university_of_central_oklahoma::: ;NN nc org 
university_of_charleston::: ;NN nc org 
university_of_chicago::: ;NN nc org 
university_of_cincinnati::: ;NN nc org 
university_of_cincinnati_-clermont::: ;NN nc org 
university_of_colorado_-boulder::: ;NN nc org 
university_of_colorado_-colorado_springs::: ;NN nc org 
university_of_colorado_-denver::: ;NN nc org 
university_of_colorado_health_sciences_center::: ;NN nc org 
university_of_connecticut::: ;NN nc org 
university_of_dallas::: ;NN nc org 
university_of_dayton::: ;NN nc org 
university_of_delaware::: ;NN nc org 
university_of_denver::: ;NN nc org 
university_of_detroit_mercy::: ;NN nc org 
university_of_dubuque::: ;NN nc org 
university_of_evansville::: ;NN nc org 
university_of_findlay::: ;NN nc org 
university_of_florida::: ;NN nc org 
university_of_georgia::: ;NN nc org 
university_of_great_falls::: ;NN nc org 
university_of_hartford::: ;NN nc org 
university_of_hawai'i_-west_o'ahu_campus::: ;NN nc org 
university_of_hawaii_-hilo_campus::: ;NN nc org 
university_of_hawaii_-manoa_campus::: ;NN nc org 
university_of_houston::: ;NN nc org 
university_of_houston_-clear_lake::: ;NN nc org 
university_of_houston_-victoria::: ;NN nc org 
university_of_idaho::: ;NN nc org 
university_of_illinois_-chicago::: ;NN nc org 
university_of_illinois_-urbana-champaign::: ;NN nc org 
university_of_indianapolis::: ;NN nc org 
university_of_iowa::: ;NN nc org 
university_of_judaism::: ;NN nc org 
university_of_kansas::: ;NN nc org 
university_of_kentucky::: ;NN nc org 
university_of_la_verne::: ;NN nc org 
university_of_louisiana_at_lafayette::: ;NN nc org 
university_of_louisiana_at_monroe::: ;NN nc org 
university_of_louisville::: ;NN nc org 
university_of_maine_-augusta::: ;NN nc org 
